imdb_id	kind	reference_name
co0000175	company	Glen Glenn
co0000756	company	20th Century-Fox
co0002663	company	Warner Bros.
co0002868	company	United States Department of State Office of Information
co0003606	company	United States Army Pictorial Service
co0003677	company	Amkino
co0005073	company	Universal
co0006414	company	National Film Board of Canada
co0007143	company	Metro-Goldwyn-Mayer
co0014351	company	Columbia
co0016792	company	Todd-AO
co0019661	company	Skibo Productions
co0019944	company	United States Office of Strategic Services Field Photographic Bureau
co0020185	company	United States Office of War Information
co0020540	company	Republic
co0022726	company	the National Endowment for the Arts
co0023398	company	United States Department of War
co0023400	company	Paramount
co0025237	company	The Danish Government Film Office
co0026244	company	Eastman Kodak Company
co0026841	company	United Artists
co0027170	company	Sol Lesser (production company)
co0027834	company	Ciné-Documents
co0028083	company	Charles Chaplin Productions
co0028775	company	Fox
co0030758	company	Principal Productions
co0032927	company	New Zealand Screen Board
co0035064	company	Walter Wanger (production company)
co0035646	company	Grand National
co0038466	company	United States Army Special Services
co0041067	company	Pinewood
co0041421	company	RKO Radio
co0041460	company	First National
co0041860	company	United States Army Signal Corps
co0046209	company	United States Army Air Force
co0047444	company	Artkino
co0047766	company	United States Navy
co0047855	company	The March of Time
co0050385	company	Educational
co0050966	company	The Museum of Modern Art
co0051159	company	the NATIONAL CARBON COMPANY
co0053065	company	Gaumont British
co0053790	company	Realization D'Art Cinematographique
co0062187	company	General Service
co0063999	company	United States Office for Emergency Management Film Unit
co0064215	company	Samuel Goldwyn
co0065738	company	The American Society of Cinematographers
co0065861	company	the Technicolor Company
co0066582	company	the BAUSCH & LOMB OPTICAL COMPANY
co0067247	company	20th Century
co0073404	company	Cosmopolitan
co0074827	company	The Caddo Company
co0075561	company	Hal Roach
co0076018	company	Seven Arts
co0076128	company	St. Francis-Xavier University
co0089684	company	The Museum of Modern Art Film Library
co0098836	company	Walt Disney Studios
co0103018	company	London Films
co0103139	company	Two Cities Films
co0103143	company	British Ministry of Information
co0103153	company	Archers
co0103344	company	Shepperton
co0109747	company	FPC Incorporated
co0113550	company	Cineguild
co0130901	company	Selznick International Pictures
co0141760	company	United States Army
co0147189	company	Argosy-Wanger
co0189536	company	Samuel Goldwyn Productions
co0190210	company	The International Alliance of Theatrical Stage Employees
co0203140	company	Feature Productions
co0328276	company	The Society of Motion Picture and Television Engineers
co0555976	company	Bell and Howell Company
nm0000001	person	Fred Astaire
nm0000002	person	Lauren Bacall
nm0000005	person	Ingmar Bergman
nm0000006	person	Ingrid Bergman
nm0000007	person	Humphrey Bogart
nm0000008	person	Marlon Brando
nm0000009	person	Richard Burton
nm0000010	person	James Cagney
nm0000011	person	Gary Cooper
nm0000012	person	Bette Davis
nm0000013	person	Doris Day
nm0000014	person	Olivia de Havilland
nm0000015	person	James Dean
nm0000016	person	Georges Delerue
nm0000017	person	Marlene Dietrich
nm0000018	person	Kirk Douglas
nm0000019	person	Federico Fellini
nm0000020	person	Henry Fonda
nm0000021	person	Joan Fontaine
nm0000022	person	Clark Gable
nm0000023	person	Judy Garland
nm0000024	person	John Gielgud
nm0000025	person	Jerry Goldsmith
nm0000026	person	Cary Grant
nm0000027	person	Alec Guinness
nm0000030	person	Audrey Hepburn
nm0000031	person	Katharine Hepburn
nm0000032	person	Charlton Heston
nm0000033	person	Alfred Hitchcock
nm0000034	person	William Holden
nm0000035	person	James Horner
nm0000036	person	Buster Keaton
nm0000037	person	Gene Kelly
nm0000038	person	Grace Kelly
nm0000039	person	Deborah Kerr
nm0000040	person	Stanley Kubrick
nm0000041	person	Akira Kurosawa
nm0000044	person	Burt Lancaster
nm0000046	person	Vivien Leigh
nm0000047	person	Sophia Loren
nm0000049	person	Henry Mancini
nm0000050	person	Groucho Marx
nm0000051	person	James Mason
nm0000052	person	Marcello Mastroianni
nm0000053	person	Robert Mitchum
nm0000055	person	Alfred Newman
nm0000056	person	Paul Newman
nm0000057	person	David Niven
nm0000058	person	Maureen O'Hara
nm0000059	person	Laurence Olivier
nm0000060	person	Gregory Peck
nm0000063	person	Anthony Quinn
nm0000064	person	Edward G. Robinson
nm0000065	person	Nino Rota
nm0000067	person	Miklós Rózsa
nm0000069	person	Frank Sinatra
nm0000070	person	Max Steiner
nm0000071	person	James Stewart
nm0000072	person	Elizabeth Taylor
nm0000073	person	Shirley Temple
nm0000074	person	Gene Tierney
nm0000075	person	Spencer Tracy
nm0000076	person	François Truffaut
nm0000077	person	Franz Waxman
nm0000078	person	John Wayne
nm0000080	person	Orson Welles
nm0000081	person	Natalie Wood
nm0000082	person	Victor Young
nm0000090	person	Armin Mueller-Stahl
nm0000092	person	John Cleese
nm0000093	person	Brad Pitt
nm0000095	person	Woody Allen
nm0000099	person	Patricia Arquette
nm0000101	person	Dan Aykroyd
nm0000104	person	Antonio Banderas
nm0000107	person	Kim Basinger
nm0000110	person	Kenneth Branagh
nm0000113	person	Sandra Bullock
nm0000115	person	Nicolas Cage
nm0000116	person	James Cameron
nm0000122	person	Charlie Chaplin
nm0000123	person	George Clooney
nm0000124	person	Jennifer Connelly
nm0000125	person	Sean Connery
nm0000126	person	Kevin Costner
nm0000128	person	Russell Crowe
nm0000129	person	Tom Cruise
nm0000130	person	Jamie Lee Curtis
nm0000133	person	Geena Davis
nm0000134	person	Robert De Niro
nm0000136	person	Johnny Depp
nm0000138	person	Leonardo DiCaprio
nm0000140	person	Michael Douglas
nm0000142	person	Clint Eastwood
nm0000146	person	Ralph Fiennes
nm0000147	person	Colin Firth
nm0000148	person	Harrison Ford
nm0000149	person	Jodie Foster
nm0000150	person	Michael J. Fox
nm0000151	person	Morgan Freeman
nm0000154	person	Mel Gibson
nm0000155	person	Whoopi Goldberg
nm0000156	person	Jeff Goldblum
nm0000158	person	Tom Hanks
nm0000160	person	Ethan Hawke
nm0000161	person	Salma Hayek
nm0000163	person	Dustin Hoffman
nm0000164	person	Anthony Hopkins
nm0000165	person	Ron Howard
nm0000166	person	Helen Hunt
nm0000168	person	Samuel L. Jackson
nm0000169	person	Tommy Lee Jones
nm0000172	person	Harvey Keitel
nm0000173	person	Nicole Kidman
nm0000177	person	Kevin Kline
nm0000178	person	Diane Lane
nm0000179	person	Jude Law
nm0000180	person	David Lean
nm0000184	person	George Lucas
nm0000186	person	David Lynch
nm0000188	person	Steve Martin
nm0000190	person	Matthew McConaughey
nm0000193	person	Demi Moore
nm0000194	person	Julianne Moore
nm0000195	person	Bill Murray
nm0000197	person	Jack Nicholson
nm0000198	person	Gary Oldman
nm0000199	person	Al Pacino
nm0000201	person	Michelle Pfeiffer
nm0000203	person	River Phoenix
nm0000204	person	Natalie Portman
nm0000209	person	Tim Robbins
nm0000210	person	Julia Roberts
nm0000213	person	Winona Ryder
nm0000215	person	Susan Sarandon
nm0000217	person	Martin Scorsese
nm0000218	person	Kristin Scott Thomas
nm0000223	person	Elisabeth Shue
