imdb_id	reference_title
tt0015864	The Gold Rush
tt0017743	Chang
tt0017806	The Devil Dancer
tt0017822	The Dove
tt0017979	The Private Life of Helen of Troy
tt0018037	The Jazz Singer
tt0018129	The Magic Flame
tt0018253	The Patent Leather Kid
tt0018379	7th Heaven
tt0018389	A Ship Comes In
tt0018429	Sorrell and Son
tt0018455	Sunrise
tt0018515	Two Arabian Knights
tt0018526	Underworld
tt0018578	Wings
tt0018666	The Awakening
tt0018674	The Barker
tt0018773	The Circus
tt0018792	The Cop
tt0018806	The Crowd
tt0018907	Four Devils
tt0018945	Glorious Betsy
tt0019071	The Last Command
tt0019217	The Noose
tt0019237	Our Dancing Daughters
tt0019257	The Patriot
tt0019304	The Racket
tt0019344	Sadie Thompson
tt0019348	Sal of Singapore
tt0019398	Skyscraper
tt0019412	Speedy
tt0019429	Street Angel
tt0019451	Tempest
tt0019553	The Way of All Flesh
tt0019557	Weary River
tt0019574	White Shadows in the South Seas
tt0019591	A Woman of Affairs
tt0019630	Alibi
tt0019722	The Bridge of San Luis Rey
tt0019729	The Broadway Melody
tt0019735	Bulldog Drummond
tt0019785	Condemned
tt0019788	Coquette
tt0019823	Disraeli
tt0019824	The Divine Lady
tt0019833	Drag
tt0019843	Dynamite
tt0019959	Hallelujah
tt0019993	Hollywood Revue
tt0020018	In Old Arizona
tt0020081	The Last of Mrs. Cheyney
tt0020088	The Leatherneck
tt0020092	The Letter
tt0020112	The Love Parade
tt0020126	Madame X
tt0020358	Sally
tt0020488	Their Own Desire
tt0020499	Thunderbolt
tt0020514	The Trespasser
tt0020543	The Valiant
tt0020594	With Byrd at the South Pole
tt0020603	Wonder of Women
tt0020629	All Quiet on the Western Front
tt0020641	Anna Christie
tt0020686	The Big House
tt0020690	The Big Pond
tt0020744	The Case of Sergeant Grischa
tt0020815	The Dawn Patrol
tt0020823	The Devil's Holiday
tt0020827	The Divorcee
tt0020836	The Doorway to Hell
tt0020938	The Green Goddess
tt0020960	Hell's Angels
tt0020985	Holiday
tt0021016	Just Imagine
tt0021025	King of Jazz
tt0021053	Laughter
tt0021079	Little Caesar
tt0021148	Min and Bill
tt0021156	Morocco
tt0021281	Raffles
tt0021301	The Right to Love
tt0021307	The Rogue Song
tt0021310	Romance
tt0021322	The Royal Family of Broadway
tt0021335	Sarah and Son
tt0021404	Song of the Flame
tt0021420	Street of Chance
tt0021511	The Vagabond King
tt0021549	Whoopee!
tt0021622	Arrowsmith
tt0021635	Bad Girl
tt0021730	The Champ
tt0021746	Cimarron
tt0021770	The Criminal Code
tt0021826	East Lynne
tt0021873	Five Star Final
tt0021885	A Free Soul
tt0021890	The Front Page
tt0021931	The Guardsman
tt0022074	The Smiling Lieutenant
tt0022147	Mickey's Orphans
tt0022286	The Public Enemy
tt0022386	The Sin of Madelon Claudet
tt0022397	Skippy
tt0022403	Smart Money
tt0022430	The Star Witness
tt0022454	Svengali
tt0022458	Tabu
tt0022495	Trader Horn
tt0022500	Transatlantic
tt0022599	À Nous la Liberté
tt0022835	Dr. Jekyll and Mr. Hyde
tt0022854	Emma
tt0022879	A Farewell to Arms
tt0022899	Flowers and Trees
tt0022958	Grand Hotel
tt0023042	I Am a Fugitive from a Chain Gang
tt0023067	It's Got Me Again
tt0023109	Lady and Gent
tt0023152	The Loud Mouth
tt0023251	The Music Box
tt0023303	One Hour with You
tt0023305	One Way Passage
tt0023374	Rasputin and the Empress
tt0023441	Screen Souvenirs
tt0023443	The Sea
tt0023458	Shanghai Express
tt0023470	The Sign of the Cross
tt0023488	Smilin' Through
