ImdbId	TmdbId	EntityType
tt0019071	52679	title
nm0417837	2895	person
tt0019553	85499	title
tt0019217	113167	title
nm0001932	13789	person
tt0018253	102541	title
tt0018379	82474	title
nm0310980	9088	person
tt0019429	28391	title
tt0018455	631	title
tt0018389	104212	title
nm0237571	146141	person
tt0019344	42538	title
nm0841797	8629	person
tt0019451	79757	title
nm0580017	11489	person
tt0017822	79760	title
nm0646856	1456432	person
nm0322843	9083	person
tt0018578	28966	title
tt0019304	27777	title
nm0003546,nm0835365	9080,9081	person
nm0055604	3356	person
tt0017806	171341	title
tt0018129	171343	title
tt0018515	102384	title
nm0587277	2000	person
tt0019412	22595	title
nm0928514	143558	person
nm0097648	14855	person
tt0018429	183587	title
nm0107543	930791	person
tt0018806	3061	title
nm0896542	29962	person
tt0018773	28978	title
nm0000122	13848	person
tt0018037	939	title
tt0017743	44657	title
nm0690120	1173151	person
nm0358518	1506044	person
nm0805521	5578551	person
nm0322227	89045	person
tt0018945	171354	title
nm0170401	147010	person
nm0169879	14282	person
tt0018526	42565	title
nm0372942	4341	person
nm0083742	71789	person
nm0267868	29965	person
tt0017979	218413	title
nm0240534	1363919	person
tt0020018	83989	title
nm0062828	29999	person
tt0019630	13847	title
nm0606431	34754	person
tt0019257	83990	title
nm0832011	29259	person
tt0020543	113207	title
nm0612847	13352	person
tt0020499	27456	title
nm0051628	13555	person
tt0019788	85507	title
nm0681933	100047	person
tt0020126	39075	title
nm0154183	130385	person
tt0018674	85634	title
nm0173993	13556	person
tt0019729	65203	title
nm0522281	29258	person
tt0019824	104214	title
nm0341464	1054643	person
tt0020092	147846	title
nm0247074	1107369	person
tt0019722	173582	title
nm0316539	9062	person
tt0019843	173580	title
nm0500552	108914	person
tt0018666	259361	title
nm0237417	8622	person
tt0019993	31678	title
tt0019574	53161	title
nm0005682	418836	person
tt0018907	171624	title
nm0005823	137885	person
nm0249186	2005	person
tt0019237	42614	title
nm0005870	8620	person
nm0515979	72061	person
tt0019833	116269	title
nm0191899	129422	person
nm0000859	17753	person
nm0064600	145605	person
nm0523932	2428	person
tt0019557	171446	title
nm0473134	42063	person
tt0019591	42615	title
nm0580648	103049	person
nm0058179	930394	person
nm0522674	145830	person
tt0019348	173568	title
nm0165470	98005	person
tt0019398	173569	title
tt0018792	173570	title
tt0020081	246292	title
tt0020088	173572	title
tt0020603	173573	title
tt0019823	84274	title
nm0002183	124309	person
tt0019735	81829	title
nm0172903	29522	person
tt0019785	104208	title
tt0020686	47250	title
nm0000891	29260	person
tt0020690	111754	title
nm0002001	112972	person
tt0020938	113430	title
tt0020112	51759	title
tt0021307	114063	title
nm0862546	1015599	person
tt0020827	80708	title
nm0790454	88867	person
tt0020641	42812	title
nm0001256	19549	person
tt0021310	77412	title
tt0021335	104216	title
tt0020823	104215	title
nm0007216	145831	person
tt0020514	53796	title
tt0020488	99767	title
tt0021025	108213	title
tt0020358	134914	title
